"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASHOKLEY","EQ","09-Mar-2018","        144.15","        147.00","        147.45","        144.40","        147.10","        147.00","        145.99","   30193142","          4407924635.05","     103024","   12537202","         41.52"
"ASHOKLEY","EQ","12-Mar-2018","        147.00","        148.00","        148.60","        144.60","        145.60","        145.40","        146.04","   17320780","          2529520075.20","      65660","    5928656","         34.23"
"ASHOKLEY","EQ","13-Mar-2018","        145.40","        145.80","        150.45","        143.80","        150.05","        149.90","        147.66","   24601040","          3632660622.30","      75761","   10297692","         41.86"
"ASHOKLEY","EQ","14-Mar-2018","        149.90","        149.20","        150.30","        148.60","        149.70","        149.70","        149.41","   11802575","          1763481706.95","      51007","    3080246","         26.10"
"ASHOKLEY","EQ","15-Mar-2018","        149.70","        149.10","        151.65","        148.95","        150.30","        150.55","        150.72","   13458378","          2028386214.65","      76210","    5870815","         43.62"
"ASHOKLEY","EQ","16-Mar-2018","        150.55","        150.30","        150.60","        146.70","        147.40","        147.15","        148.19","   14963488","          2217410939.05","      81109","    8366094","         55.91"
"ASHOKLEY","EQ","19-Mar-2018","        147.15","        148.00","        148.35","        144.00","        145.45","        145.70","        145.33","   17441635","          2534733970.25","      74864","    8587103","         49.23"
"ASHOKLEY","EQ","20-Mar-2018","        145.70","        145.45","        148.00","        144.70","        146.05","        146.00","        146.59","   11845334","          1736417194.45","      48845","    4098717","         34.60"
"ASHOKLEY","EQ","21-Mar-2018","        146.00","        146.90","        148.80","        146.50","        147.60","        147.50","        147.86","   14925709","          2206958317.25","      71598","    6131403","         41.08"
"ASHOKLEY","EQ","22-Mar-2018","        147.50","        148.20","        148.20","        141.55","        142.15","        142.00","        144.60","   12939722","          1871060493.35","      80726","    4222648","         32.63"
"ASHOKLEY","EQ","23-Mar-2018","        142.00","        140.00","        142.55","        138.20","        142.50","        142.05","        140.65","   18267529","          2569397774.75","      65860","    5593409","         30.62"
"ASHOKLEY","EQ","26-Mar-2018","        142.05","        143.00","        145.30","        142.20","        145.20","        144.40","        143.57","   11572005","          1661393221.70","      41338","    3724054","         32.18"
"ASHOKLEY","EQ","27-Mar-2018","        144.40","        145.90","        146.65","        143.05","        145.30","        144.95","        144.54","   12007027","          1735509231.70","      39712","    4095702","         34.11"
"ASHOKLEY","EQ","28-Mar-2018","        144.95","        144.55","        146.70","        143.90","        145.40","        145.45","        145.46","   18877771","          2745898827.25","      78613","    8705127","         46.11"
"ASHOKLEY","EQ","02-Apr-2018","        145.45","        146.55","        148.95","        146.15","        148.00","        148.10","        147.53","   22938236","          3384016527.90","     111107","   11884058","         51.81"
"ASHOKLEY","EQ","03-Apr-2018","        148.10","        147.95","        149.45","        147.35","        147.75","        147.75","        148.22","   14391152","          2132998684.85","      58598","    6932159","         48.17"
"ASHOKLEY","EQ","04-Apr-2018","        147.75","        148.40","        150.60","        145.05","        146.15","        145.85","        147.90","   20449016","          3024347702.10","      75786","    9213868","         45.06"
"ASHOKLEY","EQ","05-Apr-2018","        145.85","        147.35","        148.65","        146.00","        147.15","        147.00","        146.94","   11604724","          1705229968.85","      60166","    5992662","         51.64"
"ASHOKLEY","EQ","06-Apr-2018","        147.00","        147.40","        147.40","        143.20","        146.15","        146.45","        145.21","   12593378","          1828731832.95","      53860","    5179875","         41.13"
"ASHOKLEY","EQ","09-Apr-2018","        146.45","        146.85","        148.95","        145.75","        146.25","        146.35","        146.99","   13175463","          1936672926.45","      57016","    5792462","         43.96"
"ASHOKLEY","EQ","10-Apr-2018","        146.35","        146.90","        147.60","        144.00","        145.30","        145.30","        145.42","   14915410","          2169059815.45","      51676","    8047723","         53.96"
"ASHOKLEY","EQ","11-Apr-2018","        145.30","        145.90","        146.45","        144.50","        144.70","        144.80","        145.14","   10891005","          1580734743.00","      36240","    5736668","         52.67"
"ASHOKLEY","EQ","12-Apr-2018","        144.80","        145.30","        145.95","        144.10","        145.50","        145.10","        145.12","    9351738","          1357090150.35","      45884","    5276309","         56.42"
"ASHOKLEY","EQ","13-Apr-2018","        145.10","        145.90","        150.55","        145.50","        149.30","        149.40","        149.04","   27751300","          4136035125.05","     122244","    7588957","         27.35"
"ASHOKLEY","EQ","16-Apr-2018","        149.40","        149.20","        152.50","        148.65","        151.00","        151.00","        151.00","   15482321","          2337755994.15","      68112","    3626564","         23.42"
"ASHOKLEY","EQ","17-Apr-2018","        151.00","        151.60","        152.10","        148.05","        149.55","        149.40","        149.85","   10260588","          1537573753.05","      68516","    3439020","         33.52"
"ASHOKLEY","EQ","18-Apr-2018","        149.40","        149.85","        151.00","        148.05","        149.75","        149.40","        149.65","   13484322","          2017921959.30","      52670","    5556943","         41.21"
"ASHOKLEY","EQ","19-Apr-2018","        149.40","        150.65","        151.45","        149.45","        151.25","        151.10","        150.39","    9206006","          1384457065.00","      31514","    3746016","         40.69"
"ASHOKLEY","EQ","20-Apr-2018","        151.10","        151.45","        156.00","        150.65","        155.30","        155.55","        154.04","   18945689","          2918365282.40","      82594","    5474568","         28.90"
"ASHOKLEY","EQ","23-Apr-2018","        155.55","        155.95","        159.95","        155.65","        159.40","        159.45","        157.78","   22119097","          3489985986.35","      77297","    8258055","         37.33"
"ASHOKLEY","EQ","24-Apr-2018","        159.45","        159.90","        161.75","        158.20","        158.75","        159.05","        159.99","   18448201","          2951611219.35","      70493","    6631824","         35.95"
"ASHOKLEY","EQ","25-Apr-2018","        159.05","        158.90","        164.60","        158.40","        164.30","        164.20","        162.14","   27241565","          4416915336.40","      89171","   11415080","         41.90"
"ASHOKLEY","EQ","26-Apr-2018","        164.20","        164.20","        166.35","        161.25","        162.40","        162.65","        163.43","   21816930","          3565609388.50","      71674","    8197504","         37.57"
"ASHOKLEY","EQ","27-Apr-2018","        162.65","        163.90","        164.45","        161.10","        162.10","        162.00","        162.62","    9827879","          1598169614.35","      57036","    2818654","         28.68"
"ASHOKLEY","EQ","30-Apr-2018","        162.00","        163.55","        165.55","        162.20","        164.35","        164.45","        164.08","    9223162","          1513324469.70","      38042","    2352120","         25.50"
